,F3 alpha,F3 beta,F4 alpha,F4 beta,C3 alpha,C3 beta,C4 alpha,C4 beta,Fp1 alpha,Fp1 beta,Fp2 alpha,Fp2 beta,O1 gamma,O2 gamma
10,-1.711492676466386e-08,-1.597474914802724e-08,-2.1553487426130134e-08,-1.440894327607638e-08,-5.3936707718605995e-08,-2.8987135128496503e-08,-5.987452699193837e-08,-1.5743798385943823e-08,4.32970355226126e-10,-1.5106500256702324e-10,-2.9440894183714132e-08,-3.156162768932443e-08,2.4816454480499683e-08,1.025326333549195e-08
11,-1.1834646186389466e-07,-2.4810738137061428e-08,-9.300287558387089e-08,-2.488793826511898e-08,-3.918540104322444e-08,1.3096080856052694e-08,-4.919052148233753e-09,1.2132908446789662e-08,-1.389454716144373e-09,-1.244047626620829e-10,-6.05293945154812e-08,-2.175691669428033e-08,-1.24792582833998e-08,-1.194519140776337e-08
12,1.413919172220214e-07,3.5355915798250935e-08,1.1119948042813543e-07,2.3874088292326195e-08,6.548924497925614e-08,1.3339311490565005e-08,9.025108972657354e-08,-4.3685884234819706e-09,1.425522615797506e-10,4.913038029667455e-10,9.559685134771058e-08,1.5951392347797506e-08,-2.3103908157900663e-08,-5.456877317118895e-10
13,-5.6831919503892866e-08,7.221522652947068e-09,-1.8674429268788926e-08,-7.20100602946248e-10,-5.140378087507249e-08,1.9167382371083197e-08,-3.435833336381743e-08,1.3807320655309239e-08,1.6873282388281142e-09,-4.635180898425118e-10,-9.155736188313466e-09,6.159882641700033e-09,2.92647859982431e-08,-6.848704408601139e-09
14,9.284027023420541e-08,7.652730475548525e-09,1.7119918491570043e-08,3.0449734657996914e-10,5.055887225409598e-08,-1.4535566630488886e-08,4.8022888835434345e-09,-1.7133404765688163e-08,2.63856586507245e-09,1.4932952322085946e-09,-2.510746459458267e-08,-2.287875152901676e-08,1.5037042753078363e-09,5.9481640760800815e-09
15,2.4624529158487523e-07,3.4082747828585003e-08,3.408534682160906e-07,4.2533332658045485e-08,1.4235291598200978e-07,3.296120645285701e-08,1.1538894164823427e-07,1.8159224221171128e-08,-1.9175931757199184e-09,-4.4030363429305364e-10,3.03032624367806e-07,6.405986486470964e-08,-1.3612704437836051e-08,5.782657498532348e-11
16,-4.6888697225271814e-07,-8.138581014933867e-08,-5.130515757478057e-07,-8.429560550641569e-08,-2.5754580645849693e-07,-6.560965776372255e-08,-3.0047746042946026e-07,-3.9751947077860463e-08,-1.1758473256246138e-09,6.312163502900872e-11,-4.857130099409809e-07,-9.030150535669419e-08,-6.000949503473027e-09,1.3384062051068221e-08
17,1.8645983556249285e-07,3.1418231364117006e-08,1.985909623976523e-07,5.843620428204946e-08,1.016620141031025e-07,2.9629938086733588e-08,2.1835934754721933e-07,2.720072144870643e-08,4.314263431104168e-10,7.691461123530529e-10,2.4735769241668807e-07,3.962234849800011e-08,1.1021000922900282e-08,-1.4352869267720315e-08
18,-6.67683144289835e-08,-1.3225995574394153e-08,-7.915163102139584e-08,-2.4147742857911636e-08,-4.2173626848394656e-08,-3.9183073158817666e-08,-2.8698848036405415e-08,2.942975092668243e-08,1.3412570150660632e-09,-6.072663844710855e-10,-1.379352156286391e-07,-1.2666585713691398e-08,9.324847353474383e-09,-1.586453825628891e-09
19,-1.1223542186630652e-08,-5.9025679268558786e-08,5.581618635025895e-08,-3.984486555554342e-08,-1.995037330235055e-08,-1.0261725035729264e-08,6.229344687653349e-09,-4.2096876866694034e-08,-3.9002690979676155e-10,4.3944925070522274e-10,8.61624835105719e-08,-4.237979832732586e-08,-3.3151584079142786e-08,3.979340201369462e-09
