Unnamed: 0,F3 alpha mean,F3 alpha psd_mean,F3 beta mean,F3 beta psd_mean,F4 alpha mean,F4 alpha psd_mean,F4 beta mean,F4 beta psd_mean,C3 alpha mean,C3 alpha psd_mean,C3 beta mean,C3 beta psd_mean,C4 alpha mean,C4 alpha psd_mean,C4 beta mean,C4 beta psd_mean,Fp1 alpha mean,Fp1 alpha psd_mean,Fp1 beta mean,Fp1 beta psd_mean,Fp2 alpha mean,Fp2 alpha psd_mean,Fp2 beta mean,Fp2 beta psd_mean,O1 gamma mean,O1 gamma psd_mean,O2 gamma mean,O2 gamma psd_mean,task
10,8.819247617073895e-10,6.503976650579168e-16,1.4562728625282808e-10,2.0461238519417685e-17,6.509648215702216e-10,6.994635645254314e-16,1.141401531195558e-10,2.326422218976229e-17,4.0527779755781877e-10,3.1615682823019497e-16,8.183371052914881e-12,1.0532302040619315e-17,4.544128338679893e-10,4.3457308956244204e-16,6.363274461880195e-11,1.8088723227595256e-17,1.610877495775302e-13,2.189624455932028e-20,8.435610085730677e-13,4.406651322672985e-21,7.29167408657724e-10,7.53287487019622e-16,8.936191517185929e-11,2.6078616133075588e-17,-2.759555871139345e-11,9.261421951314908e-19,8.876087191852524e-12,7.441160541751007e-19,think1
11,2.3132107891551422e-10,4.3168797556957344e-16,2.3011245883427744e-10,2.500747852921335e-17,6.177374171325046e-10,4.35845226321045e-16,2.1453915505547875e-10,2.6980619758541478e-17,3.676713754205687e-10,2.2138351745954583e-16,1.7467623059753156e-10,1.3277289553638185e-17,5.770953792989936e-10,2.6263885144192327e-16,1.5947457906987464e-10,1.80983170784676e-17,-7.887702111815779e-13,2.5669291930791158e-20,1.399124062658362e-12,4.504895142473383e-21,5.897655219529007e-10,4.912749654222297e-16,2.7752441191620043e-10,2.845126702805308e-17,-1.2424371926876464e-11,4.8004381951248285e-19,9.102868567553864e-12,4.663382884064342e-19,think2
12,6.779840882776643e-10,1.2708491943822904e-16,1.3227989075602675e-10,2.80639252172295e-17,5.547185406571673e-10,1.3230882673342731e-16,1.4908594033989134e-10,2.79258108262858e-17,3.825005084940408e-10,9.044068227815403e-17,6.189881148432324e-11,2.1810468888604472e-17,4.3383746009852557e-10,1.0579152156467915e-16,6.349833949244204e-11,2.4212183973544203e-17,-9.086255620732642e-12,2.3060288031308322e-20,-7.512083207828737e-13,5.080361282091715e-21,5.624373168357909e-10,1.3669977182712095e-16,1.2704009839918852e-10,3.136153014069396e-17,-3.928415790752653e-11,4.838237170496071e-19,-6.543730947447395e-11,5.088275925129578e-19,med1breath
13,1.4040700545168012e-10,1.143758580856931e-16,6.360216673165448e-12,2.3987400523176326e-17,-1.6855523624390292e-10,1.0843634166058181e-16,-7.993252566247642e-11,2.629645680133632e-17,-2.8814405908019583e-10,7.21100749836817e-17,-6.362610765182922e-11,1.625417511481867e-17,-2.0658608683165766e-10,9.268319458823528e-17,-8.772241245549209e-11,2.2597150013668678e-17,-3.240573905004425e-13,2.2693471466468768e-20,1.924009140586109e-12,5.6425629591200754e-21,1.3529609017067747e-11,1.1115515434276544e-16,-7.962907096017959e-11,2.6358949910065052e-17,-1.5852656445696768e-10,4.675492223759912e-19,-1.353390403685061e-10,6.622810584929284e-19,med2
14,3.6422818112642096e-10,1.7061966058316714e-16,1.2479099481185439e-10,3.883837297865567e-17,1.582769275432589e-10,1.7145756428622702e-16,3.25028821456309e-11,3.8443245048747983e-17,3.169573130116235e-10,1.123201502021707e-16,8.622438084504995e-11,2.974496611629427e-17,2.682693678474363e-10,1.2206838494124142e-16,8.594666983684338e-11,2.9432233725136253e-17,-9.826796624298984e-12,2.146046720087228e-20,3.014048165974898e-13,4.6045510330199424e-21,5.273599719747978e-10,2.002360760055221e-16,1.3772282897507848e-10,4.1824634621964713e-17,8.120694841572236e-11,5.691225889449903e-19,7.463939623028539e-11,6.23470316324612e-19,think1
15,1.4370397573309192e-11,1.1319798290305235e-16,1.363153831391616e-10,2.3131573729077618e-17,2.4524546951798283e-11,1.2315317468547799e-16,1.8058281434159943e-10,2.4122684171147417e-17,8.254622193780077e-11,7.73771210167022e-17,1.364065093495534e-10,1.709471122877853e-17,3.2409174133622965e-11,9.059594454132644e-17,1.557134200477631e-10,2.0134779645034162e-17,3.53104486355719e-13,2.288918506823364e-20,-1.7392276412904593e-12,5.321412268940682e-21,-1.900330093358397e-10,1.3694134964471826e-16,8.618199908038543e-11,2.6899986542705464e-17,3.1101509249397313e-11,6.959825824440486e-19,3.558292137730436e-11,7.605686205844495e-19,think2
16,1.160198962731606e-10,1.0272505417423082e-15,7.042308421079904e-11,1.8062538149347797e-17,-1.8275634588507838e-11,1.1382949775166845e-15,8.222974634081836e-11,2.2045737857388107e-17,1.7713453246646076e-10,5.624182122286129e-16,2.599039049215149e-11,9.710408238488305e-18,-2.2173686749355587e-11,6.146408826406842e-16,6.87158701601996e-11,1.4056119929653806e-17,-5.124766429957844e-12,2.2329058339136903e-20,-1.453726479233914e-12,5.522864389537825e-21,-1.0692231179255372e-10,1.191479694592698e-15,6.602162011734989e-11,2.3411902817054538e-17,-1.0505722597405668e-11,1.2463829121225456e-19,-1.5863107041468747e-10,3.9096775135771416e-18,med1breath
17,4.12466405201779e-10,1.1225089253217583e-10,-8.865536696187419e-11,5.822637109770131e-12,4.92441371170808e-10,1.0887155773030739e-10,-6.97876919889597e-11,5.638215689327288e-12,2.7056601641364485e-10,1.1157942379054679e-10,5.090157224467234e-11,5.7946225738823785e-12,2.5491871516655385e-10,1.12317601874631e-10,1.9157014672302336e-11,5.834945636133196e-12,-8.987704880270916e-12,2.3463551644491127e-20,-6.3899747214871546e-12,5.585673900102307e-21,4.659777255084072e-10,1.0649943872722684e-10,-1.278025829780989e-10,5.505863056998351e-12,1.1871684699920904e-11,3.468424768800457e-12,3.8041011429403835e-11,3.4092945551960838e-12,med2
18,-1.2374611571585614e-10,2.6791435169942363e-16,-1.1612976726483547e-10,1.250607303136244e-17,-1.9481796106497864e-10,3.1552280389319313e-16,-9.420668011013476e-11,1.4344541366243068e-17,-7.939912666216796e-11,1.3394712927847378e-16,-1.0715043546379562e-10,6.407259418177656e-18,-1.6179223088869426e-10,1.8127930582065531e-16,-1.7094980077506206e-10,9.22560392056641e-18,6.8515193331934856e-12,2.380379484804685e-20,2.388085759198939e-12,5.7269081844335974e-21,-1.9120894627039627e-10,3.498182166902681e-16,-7.227132323919855e-11,1.6524592292929008e-17,-4.632441678576768e-11,3.064356393743351e-19,-7.514670878629983e-12,4.9539317158318205e-19,think1
19,-3.5792987651395997e-10,2.6607784260511603e-16,1.0632218164513867e-10,1.0191240826564716e-17,-2.9462247253370757e-10,2.8842419447914724e-16,1.13508347449017e-10,1.2475693505069465e-17,-3.4772658820457187e-10,1.4905280130629458e-16,6.957495378102884e-11,5.8360451752938626e-18,-2.9170935546049407e-10,1.5272067378041892e-16,4.5595797626570056e-11,9.352492124070953e-18,6.600922554263667e-14,2.14760966159984e-20,1.3646746157379916e-12,4.7365675108148606e-21,-3.0672499149881063e-10,3.1692635083723398e-16,1.5484259992194954e-10,1.3114927476474196e-17,2.978376545359148e-11,8.5279475289999045e-19,-1.6707064828368077e-11,1.2726197884560873e-18,think2
